Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastQC | 221	88.69120536734893	44.0	135.06936734263547	9.090909090909092	3438275.0
fastQC | 222	88.25465168799977	45.0	133.75595045372597	9.090909090909092	4521672.0
fastQC | 223	87.16384829017493	44.0	134.04663780440032	9.090909090909092	5623721.0
fastQC | 224	87.53677685145169	44.0	133.5444415807818	9.090909090909092	5660971.0
fastQC | 225	75.38932217688858	44.0	134.14591806672198	9.090909090909092	2579660.0
fastQC | 226	86.21981671155484	47.0	134.17369985209248	9.090909090909092	5673816.0
fastQC | 227	87.92270603482059	52.0	134.59547869011794	9.090909090909092	3547556.0
fastQC | 228	84.3339391134789	53.0	133.97503374415817	18.181818181818183	1922555.0
fastQC | 229	86.46714719884655	52.0	135.06967239895582	9.090909090909092	2708691.0
fastQC | 23	88.72560395925345	56.0	134.39050118172193	9.090909090909092	4968597.0
fastQC | 230	87.00094228672968	51.0	134.19755919150862	9.090909090909092	2838076.0
fastQC | 231	90.95378073633529	54.0	133.99430694336147	18.181818181818183	1328636.0
fastQC | 232	86.42022339267034	51.0	134.37876044988766	18.181818181818183	2301819.0
fastQC | 233	86.59648879228821	54.0	135.0811122890971	9.090909090909092	3206037.0
fastQC | 234	90.15383826049455	55.0	134.30701814720703	9.090909090909092	1526571.0
fastQC | 235	88.05196507325735	56.0	133.9479354678031	18.181818181818183	4517125.0
fastQC | 236	88.11884794317837	54.0	134.62435008395605	9.090909090909092	3531610.0
fastQC | 237	87.45970171474472	57.0	134.56518996708238	18.181818181818183	3196159.0
fastQC | 238	71.43235334600446	53.0	134.92600809434828	9.090909090909092	2074781.0
fastQC | 239	90.38711678777963	55.0	134.53924341471543	9.090909090909092	2538273.0
fastQC | 24	89.0340677645168	55.0	134.23622104119002	9.090909090909092	10341801.0
