Sample	Unique Reads	Duplicate Reads
fastQC | 55	1368955.0	11359613.0
fastQC | 56	479472.0	3365784.0
fastQC | 57	628932.0	5232432.0
fastQC | 58	460238.0	3799805.0
fastQC | 59	396454.0	3215634.0
fastQC | 6	608912.0	2319282.0
fastQC | 60	480867.0	769968.0
fastQC | 61	810260.0	1074171.0
fastQC | 62	314619.0	2094256.0
fastQC | 63	595668.0	4337337.0
fastQC | 64	131129.0	857450.0
fastQC | 65	265070.0	1201507.0
fastQC | 66	536341.0	1143813.0
fastQC | 67	503177.0	4594349.0
fastQC | 68	397719.0	2180677.0
fastQC | 69	444003.0	4202057.0
fastQC | 7	453932.0	1450879.0
fastQC | 70	503169.0	4901289.0
fastQC | 71	474172.0	915007.0
fastQC | 72	165160.0	817367.0
fastQC | 73	1396533.0	11234066.0
fastQC | 74	1098601.0	9094765.0
fastQC | 75	651301.0	4436579.0
fastQC | 76	1479446.0	15905360.0
fastQC | 77	1105676.0	8976169.0
fastQC | 78	1126694.0	8455920.0
fastQC | 79	1355916.0	11196204.0
fastQC | 8	387954.0	1317567.0
fastQC | 80	794497.0	6733216.0
fastQC | 81	353714.0	2513470.0
fastQC | 82	414784.0	3221911.0
fastQC | 83	793989.0	7373583.0
fastQC | 84	961464.0	8843178.0
fastQC | 85	720323.0	6441433.0
fastQC | 86	127362.0	785433.0
fastQC | 87	980091.0	8238685.0
fastQC | 88	557319.0	5241552.0
fastQC | 89	366634.0	3084377.0
fastQC | 9	657837.0	1193580.0
fastQC | 90	484072.0	4626042.0
fastQC | 91	306246.0	1499658.0
fastQC | 92	186274.0	841730.0
fastQC | 93	501620.0	844868.0
fastQC | 94	279367.0	1421049.0
fastQC | 95	364071.0	3367827.0
fastQC | 96	262313.0	1236542.0
fastQC | 97	577753.0	4576907.0
fastQC | 98	1000679.0	9674657.0
fastQC | 99	692488.0	5626956.0
